小学名称,区域,总人数,Band 1人数,Band 1比例,2023年比例,2024年比例,2025年比例
嘉諾撒聖心學校私立部,中西区,403,398,98.76%,100.0%,100.0%,100.0%
圓玄小學,屯門,94,88,93.62%,93.62%,-,-
聖公會聖彼得小學,中西区,106,99,93.4%,-,-,93.4%
九龍塘宣道小學,九龙城区,221,205,92.76%,-,90.27%,95.37%
九龍塘學校(小學部),九龙城区,98,86,87.76%,-,-,87.76%
陳瑞祺(喇沙)小學,九龙城区,89,77,86.52%,-,-,86.52%
佛教正覺蓮社學校,北区,43,37,86.05%,-,-,86.05%
保良局田家炳小學,大埔区,57,48,84.21%,-,-,84.21%
光明學校,元朗区,52,43,82.69%,-,-,82.69%
樂善堂梁銶琚學校,元朗区,42,34,80.95%,-,-,80.95%
福德學社小學,北区,25,19,76.0%,-,-,76.0%
鳳溪廖潤琛紀念學校,北区,40,30,75.0%,-,-,75.0%
道教青松小學,屯門,66,47,71.21%,-,-,71.21%
香港潮陽小學,元朗区,52,37,71.15%,-,-,71.15%
英皇書院同學會小學第二校,中西区,154,107,69.48%,-,65.88%,73.91%
聖類斯中學(小學部),中西区,58,40,68.97%,-,-,68.97%
聖公會田灣始南小學,南区,125,81,64.8%,-,-,64.8%
聖公會聖提摩太小學,九龙城区,111,70,63.06%,62.3%,64.0%,-
徐澤林紀念小學,元朗区,92,56,60.87%,-,-,60.87%
大埔舊墟公立學校(寶湖道),大埔区,141,85,60.28%,-,-,60.28%
保良局林文燦英文小學,九龙城区,130,77,59.23%,-,-,59.23%
大埔舊墟公立學校,大埔区,110,65,59.09%,-,-,59.09%
聖公會基恩小學,中西区,75,42,56.0%,-,-,56.0%
中西區聖安多尼學校,中西区,165,92,55.76%,-,55.13%,56.32%
聖安多尼學校,中西区,87,48,55.17%,-,-,55.17%
黃埔宣道小學,九龙城区,408,223,54.66%,54.61%,50.71%,59.06%
聖公會呂明才紀念小學,中西区,90,49,54.44%,54.44%,-,-
香港培道小學,九龙城区,203,104,51.23%,-,51.49%,50.98%
五旬節靳茂生小學,北区,97,49,50.52%,-,-,50.52%
聖公會蒙恩小學,屯門,117,59,50.43%,-,-,50.43%
聖公會奉基小學,九龙城区,301,151,50.17%,60.19%,31.25%,57.84%
五旬節于良發小學,北区,122,60,49.18%,-,-,49.18%
仁濟醫院何式南小學,屯門,39,19,48.72%,-,-,48.72%
李志達紀念學校,北区,154,75,48.7%,-,-,48.7%
聖公會阮鄭夢芹小學,大埔区,130,62,47.69%,-,-,47.69%
元朗商會小學,元朗区,112,53,47.32%,-,-,47.32%
仁濟醫院羅陳楚思小學,屯門,78,36,46.15%,-,-,46.15%
聖公會阮鄭夢芹銀禧小學,大埔区,87,39,44.83%,-,-,44.83%
曾梅千禧學校,北区,154,69,44.81%,-,-,44.81%
佛教正慧小學,北区,160,71,44.38%,-,-,44.38%
聖公會靈愛小學,元朗区,52,23,44.23%,-,-,44.23%
道教青松小學(湖景邨),屯門,57,25,43.86%,-,-,43.86%
天水圍官立小學,元朗区,106,46,43.4%,-,-,43.4%
合一堂學校,九龙城区,98,42,42.86%,-,-,42.86%
聖公會榮真小學,北区,118,50,42.37%,-,-,42.37%
香港潮商學校,中西区,78,32,41.03%,-,-,41.03%
聖公會嘉福榮真小學,北区,117,47,40.17%,-,-,40.17%
港九街坊婦女會孫方中小學,大埔区,113,45,39.82%,-,-,39.82%
聖嘉祿學校,中西区,46,18,39.13%,-,-,39.13%
伊利沙伯中學舊生會小學,元朗区,59,22,37.29%,-,-,37.29%
東華三院鄧肇堅小學,屯門,92,34,36.96%,-,-,36.96%
鳳溪創新小學,北区,79,29,36.71%,-,-,36.71%
保良局田家炳千禧小學,大埔区,80,29,36.25%,-,-,36.25%
聖公會牧愛小學,九龙城区,98,35,35.71%,-,38.46%,32.61%
石湖墟公立學校,北区,104,37,35.58%,-,-,35.58%
新界婦孺福利會梁省德學校,大埔区,39,13,33.33%,-,-,33.33%
上水惠州公立學校,北区,150,47,31.33%,-,-,31.33%
馬錦燦紀念小學,北区,148,46,31.08%,-,-,31.08%
李陞小學,中西区,50,15,30.0%,-,30.0%,-
打鼓嶺嶺英公立學校,北区,56,16,28.57%,-,-,28.57%
林村公立黃福鑾紀念學校,大埔区,98,28,28.57%,-,-,28.57%
聖公會置富始南小學,南区,68,19,27.94%,-,-,27.94%
東華三院李東海小學,元朗区,69,18,26.09%,-,-,26.09%
大埔浸信會公立學校,大埔区,109,28,25.69%,-,-,25.69%
香港青年協會李兆基小學,元朗区,106,27,25.47%,-,-,25.47%
潮陽百欣小學,元朗区,106,27,25.47%,-,-,25.47%
十八鄉鄉事委員會公益社小學,元朗区,120,28,23.33%,-,-,23.33%
宣道會葉紹蔭紀念小學,元朗区,113,26,23.01%,-,-,23.01%
中華基督教會何福堂小學,屯門,100,23,23.0%,-,-,23.0%
仁濟醫院蔡衍濤小學,大埔区,92,20,21.74%,-,-,21.74%
英業小學,元朗区,103,18,17.48%,-,-,17.48%
嗇色園主辦可銘學校,元朗区,69,12,17.39%,-,-,17.39%
樂善堂梁銶琚學校(分校),元朗区,105,16,15.24%,-,-,15.24%
錦田公立蒙養學校,元朗区,27,4,14.81%,-,-,14.81%
救世軍中原慈善基金皇后山學校,北区,126,15,11.9%,-,-,11.9%
天水圍天主教小學,元朗区,105,12,11.43%,-,-,11.43%
