小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
寶血會思源學校,2025,96,49,51.04%,聖保羅男女中學(Band 1A):1人; 聖保祿學校(Band 1A):1人; 荃灣官立中學(Band 1A):3人; 華英中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):2人
嘉诺撒圣心学校私立部,2021,96,93,96.88%,英華女學校(Band 1A):8人; 聖士提反女子中學(Band 1A):7人; 庇理羅士女子中學(Band 1A):2人; 聖保祿學校(Band 1A):7人; 聖保羅男女中學(Band 1A):2人
嘉诺撒圣心学校私立部,2022,78,76,97.44%,英華女學校(Band 1A):8人; 聖士提反女子中學(Band 1A):5人; 庇理羅士女子中學(Band 1A):1人; 瑪利諾修院學校（中學部）(Band 1A):1人; 港大同學會書院(Band 1A):6人
嘉诺撒圣心学校私立部,2023,84,84,100.0%,英華女學校(Band 1A):9人; 聖士提反女子中學(Band 1A):4人; 嘉諾撒聖瑪利書院(Band 1A):1人; 聖保祿學校(Band 1A):5人; 港大同學會書院(Band 1A):5人
嘉诺撒圣心学校私立部,2024,72,72,100.0%,英華女學校(Band 1A):14人; 聖士提反女子中學(Band 1A):8人; 聖保祿學校(Band 1A):3人; 聖保羅男女中學(Band 1A):1人; 德望學校(Band 1A):1人
嘉诺撒圣心学校私立部,2025,73,73,100.0%,英華女學校(Band 1A):9人; 聖士提反女子中學(Band 1A):7人; 庇理羅士女子中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人; 聖保祿學校(Band 1A):4人
聖公會基榮小學,2023,96,54,56.25%,圣保罗男女中学(Band 1A):1人; 皇仁书院(Band 1A):1人; 喇沙书院(Band 1A):1人; 英华女学校(Band 1A):1人; 嘉诺撒圣玛利书院(Band 1A):1人
聖公會基榮小學,2024,96,63,65.62%,聖保羅男女中學(Band 1A):1人; 協恩中學(Band 1A):1人; 英皇書院(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人; 保良局第一張永慶中學(Band 1A):1人
聖公會基榮小學,2025,96,60,62.5%,庇理罗士女子中学(Band 1A):1人; 宝血会上智英文书院(Band 1A):1人; 保良局第一张永庆中学(Band 1A):1人; 圣公会曾肇添中学(Band 1A):1人; 华仁书院（九龙）(Band 1B):5人
保良局世德小學,2024,96,51,53.12%,聖保羅書院(Band 1A):1人; 德望學校(Band 1A):6人; 荃灣官立中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 聖公會林護紀念中學(Band 1A):3人
保良局世德小學,2025,96,59,61.46%,聖保羅男女中學(Band 1A):1人; 喇沙書院(Band 1A):1人; 德望學校(Band 1A):1人; 協恩中學(Band 1A):1人; 港大同學會書院(Band 1A):1人
